game_state,move_number,move,number_of_games,win_percentage,value
"K10",2,"L9",79965,0.444,
"K10,L9",3,"N10",26532,0.649,
"K10,L9,N10",4,"N9",5351,0.420,
"K10,L9,N10",4,"L11",4887,0.314,
"K10,L9,N10",4,"J10",4102,0.399,
"K10,L9,N10",4,"J9",3373,0.306,
"K10,L9,N10",4,"N11",1844,0.302,
"K10,L9,N10",4,"M11",954,0.432,

"K10,L9",3,"K14",19584,0.491,-1
"K10,L9",3,"K13",11182,0.563,-0.5
"K10,L9",3,"O10",7907,0.517,
"K10,L9,O10",4,"L11",3786,0.5,
"K10,L9,O10,L11",5,"M10",1028,0.504,
"K10,L9,O10,L11",5,"L8",986,0.503,
"K10,L9,O10,L11",5,"L10",830,0.53,
"K10,L9,O10,L11",5,"M8",314,0.395,
"K10,L9,O10,L11",5,"N8",282,0.496,

"K10,L9,O10",4,"J9",1536,0.522,
"K10,L9,O10",4,"N9",555,0.445,
"K10,L9,O10",4,"L7",425,0.572,
"K10,L9,O10",4,"N11",370,0.303,
"K10,L9,O10",4,"J10",267,0.528,

"K10,L9",3,"N8",3172,0.608,
"K10,L9,N8", 4,"J9", 1078, 0.481,
"K10,L9,N8", 4,"N9", 727, 0.465,

"K10",2,"K9",37090,0.453,1
"K10,K9",3,"N10", 11653, 0.595,
"K10,K9,N10",4,"M9", 1852, 0.449,
"K10,K9,N10,M9", 5,"L9", 1289, 0.679,
"K10,K9,N10,M9,L9", 6,"M8",1058,0.337,
"K10,K9,N10,M9,L9,M8", 7,"M10", 1025, 0.669,
"K10,K9,N10,M9,L9,M8,M10", 8,"J11", 966, 0.333,
"K10,K9,N10,M9,L9,M8,M10,J11", 9,"M7", 886, 0.696,
"K10,K9,N10,M9,L9,M8,M10,J11", 9,"L10", 53, 0.245,
"K10,K9,N10,M9,L9,M8,M10,J11", 9,"O10", 32, 0.562,

"K10,K9,N10,M9,L9,M8,M10", 8,"L10", 57, 0.316,


"K10,K9,N10,M9,L9,M8", 7,"J11", 24, 0.542,
"K10,K9,N10,M9,L9,M8", 7,"M7", 8, 0.25,




"K10,K9,N10,M9,L9", 6,"J11",145,0.241,
"K10,K9,N10,M9,L9", 6,"M11",51,0.275,
"K10,K9,N10,M9,L9", 6,"L10",12,0.417,

"K10,K9,N10,M9", 5,"N8", 649, 0.481,
"K10,K9,N10,M9", 5,"H8", 278, 0.378,
"K10,K9,N10,M9", 5,"N11", 155, 0.742,

"K10,K9,N10",4,"H11", 1813, 0.39,
"K10,K9,N10",4,"M11", 1341, 0.352,
"K10,K9,N10",4,"M7", 914, 0.419,
"K10,K9,N10",4,"M8", 688, 0.526,
"K10,K9,N10,M8", 5,"N8", 242, 0.599,
"K10,K9,N10,M8", 5,"N12", 116, 0.655,
"K10,K9,N10,M8,N12", 6,"M9", 50, 0.42,
"K10,K9,N10,M8,N12", 6,"L10", 30, 0.333,
"K10,K9,N10,M8,N12", 6,"N11", 14, 0.429,
"K10,K9,N10,M8,N12", 6,"O10", 6, 0.333,

"K10,K9,N10,M8", 5,"M12", 64, 0.594,
"K10,K9,N10,M8", 5,"J10", 7, 0.429,



"K10,K9",3,"O10", 8762, 0.542,
"K10,K9",3,"K14", 3495, 0.454,
"K10,K9",3,"K6", 2805, 0.598,
"K10,K9",3,"K7", 2420, 0.556,
"K10,K9",3,"L7", 769, 0.562,
"K10,K9",3,"K13", 760, 0.442,
"K10,K9",3,"M6", 721, 0.687,


"K10",2,"N8",10046,0.483,


